index,title,cast,director,keywords,genres,soup
350,The Flintstones,"['johngoodman', 'elizabethperkins', 'rickmoranis']",brianlevant,"['manager', 'jealousy', 'badmother-in-law']","['fantasy', 'comedy', 'family']","['manager', 'jealousy', 'badmother-in-law', 'johngoodman', 'elizabethperkins', 'rickmoranis', 'brianlevant', 'fantasy', 'comedy', 'family']"
351,Forrest Gump,"['tomhanks', 'robinwright', 'garysinise']",robertzemeckis,"['vietnamveteran', 'hippie', 'mentallydisabled']","['comedy', 'drama', 'romance']","['vietnamveteran', 'hippie', 'mentallydisabled', 'tomhanks', 'robinwright', 'garysinise', 'robertzemeckis', 'comedy', 'drama', 'romance']"
352,Four Weddings and a Funeral,"['hughgrant', 'andiemacdowell', 'jamesfleet']",mikenewell,"['upperclass', 'loveatfirstsight', 'weddingvows']","['comedy', 'drama', 'romance']","['upperclass', 'loveatfirstsight', 'weddingvows', 'hughgrant', 'andiemacdowell', 'jamesfleet', 'mikenewell', 'comedy', 'drama', 'romance']"
353,Higher Learning,"['omarepps', 'kristyswanson', 'michaelrapaport']",johnsingleton,"['racism', 'violence', 'daterape']","['romance', 'drama', 'crime']","['racism', 'violence', 'daterape', 'omarepps', 'kristyswanson', 'michaelrapaport', 'johnsingleton', 'romance', 'drama', 'crime']"
354,I Like It Like That,"['laurenvélez', 'jonseda', 'tomasmelly']",darnellmartin,"['puertorican', 'love', 'jail']","['comedy', 'drama', 'romance']","['puertorican', 'love', 'jail', 'laurenvélez', 'jonseda', 'tomasmelly', 'darnellmartin', 'comedy', 'drama', 'romance']"
355,I Love Trouble,"['nicknolte', 'saulrubinek', 'jamesrebhorn']",charlesshyer,"['newspaper', 'adversary', 'reporter']","['action', 'comedy', 'romance']","['newspaper', 'adversary', 'reporter', 'nicknolte', 'saulrubinek', 'jamesrebhorn', 'charlesshyer', 'action', 'comedy', 'romance']"
356,It Could Happen to You,"['nicolascage', 'bridgetfonda', 'rosieperez']",andrewbergman,"['waitress', 'cop', 'lotteryticket']","['comedy', 'drama', 'romance']","['waitress', 'cop', 'lotteryticket', 'nicolascage', 'bridgetfonda', 'rosieperez', 'andrewbergman', 'comedy', 'drama', 'romance']"
357,The Jungle Book,"['jasonscottlee', 'caryelwes', 'lenaheadey']",stephensommers,"['indianlead', 'tiger', 'feralchild']","['adventure', 'drama', 'family']","['indianlead', 'tiger', 'feralchild', 'jasonscottlee', 'caryelwes', 'lenaheadey', 'stephensommers', 'adventure', 'drama', 'family']"
358,"The Wonderful, Horrible Life of Leni Riefenstahl","['leniriefenstahl', 'marlenedietrich', 'walterfrentz']",raymüller,"['nazis', 'propaganda', ""artists'life""]","['documentary', 'foreign']","['nazis', 'propaganda', ""artists'life"", 'leniriefenstahl', 'marlenedietrich', 'walterfrentz', 'raymüller', 'documentary', 'foreign']"
359,The Lion King,"['jonathantaylorthomas', 'matthewbroderick', 'jamesearljones']",rogerallers,"['lossofparents', 'wildboar', 'uncle']","['family', 'animation', 'drama']","['lossofparents', 'wildboar', 'uncle', 'jonathantaylorthomas', 'matthewbroderick', 'jamesearljones', 'rogerallers', 'family', 'animation', 'drama']"
360,Little Buddha,"['keanureeves', 'bridgetfonda', 'chrisisaak']",bernardobertolucci,"['buddhist', 'tibet', 'reincarnation']","['drama', 'history']","['buddhist', 'tibet', 'reincarnation', 'keanureeves', 'bridgetfonda', 'chrisisaak', 'bernardobertolucci', 'drama', 'history']"
361,New Nightmare,"['heatherlangenkamp', 'robertenglund', 'mikohughes']",wescraven,"['fire', 'kidnapping', 'nightmare']","['horror', 'thriller', 'mystery']","['fire', 'kidnapping', 'nightmare', 'heatherlangenkamp', 'robertenglund', 'mikohughes', 'wescraven', 'horror', 'thriller', 'mystery']"
362,The Mask,"['jimcarrey', 'camerondiaz', 'nancyfish']",chuckrussell,"['dualidentity', 'bank', 'mockery']","['romance', 'comedy', 'crime']","['dualidentity', 'bank', 'mockery', 'jimcarrey', 'camerondiaz', 'nancyfish', 'chuckrussell', 'romance', 'comedy', 'crime']"
363,Maverick,"['melgibson', 'jodiefoster', 'jamesgarner']",richarddonner,"['poker', 'mississippi', 'saloon']","['action', 'adventure', 'comedy']","['poker', 'mississippi', 'saloon', 'melgibson', 'jodiefoster', 'jamesgarner', 'richarddonner', 'action', 'adventure', 'comedy']"
364,Mrs. Parker and the Vicious Circle,"['jenniferjasonleigh', 'campbellscott', 'matthewbroderick']",alanrudolph,"['newyork', 'alcohol', 'prohibition']",['drama'],"['newyork', 'alcohol', 'prohibition', 'jenniferjasonleigh', 'campbellscott', 'matthewbroderick', 'alanrudolph', 'drama']"
365,The Naked Gun 33: The Final Insult,"['leslienielsen', 'priscillapresley', 'georgekennedy']",petersegal,"['undercover', 'spoof', 'stateprison']","['comedy', 'crime']","['undercover', 'spoof', 'stateprison', 'leslienielsen', 'priscillapresley', 'georgekennedy', 'petersegal', 'comedy', 'crime']"
366,The Paper,"['michaelkeaton', 'robertduvall', 'glennclose']",ronhoward,"['newyork', 'research', 'success']","['comedy', 'drama']","['newyork', 'research', 'success', 'michaelkeaton', 'robertduvall', 'glennclose', 'ronhoward', 'comedy', 'drama']"
367,Reality Bites,"['winonaryder', 'benstiller', 'janeanegarofalo']",benstiller,"['roommate', 'yuppie', 'generationsconfilct']",['drama'],"['roommate', 'yuppie', 'generationsconfilct', 'winonaryder', 'benstiller', 'janeanegarofalo', 'benstiller', 'drama']"
368,Red Rock West,"['nicolascage', 'dennishopper', 'laraflynnboyle']",johndahl,"['sheriff', 'wyoming', 'hitman']","['crime', 'drama', 'thriller']","['sheriff', 'wyoming', 'hitman', 'nicolascage', 'dennishopper', 'laraflynnboyle', 'johndahl', 'crime', 'drama', 'thriller']"
369,Ri¢hie Ri¢h,"['macaulayculkin', 'johnlarroquette', 'edwardherrmann']",donaldpetrie,"['family', 'liferaft', 'privateairplane']","['comedy', 'family']","['family', 'liferaft', 'privateairplane', 'macaulayculkin', 'johnlarroquette', 'edwardherrmann', 'donaldpetrie', 'comedy', 'family']"
370,Safe Passage,"['susansarandon', 'nickstahl', 'samshepard']",robertallanackerman,"['mother', 'pain', 'marriage']",['drama'],"['mother', 'pain', 'marriage', 'susansarandon', 'nickstahl', 'samshepard', 'robertallanackerman', 'drama']"
371,The River Wild,"['merylstreep', 'davidstrathairn', 'kevinbacon']",curtishanson,"['river', 'robber', 'boston']","['action', 'adventure', 'crime']","['river', 'robber', 'boston', 'merylstreep', 'davidstrathairn', 'kevinbacon', 'curtishanson', 'action', 'adventure', 'crime']"
372,Speed,"['keanureeves', 'dennishopper', 'sandrabullock']",jandebont,"['bomb', 'airport', 'bus']","['action', 'adventure', 'crime']","['bomb', 'airport', 'bus', 'keanureeves', 'dennishopper', 'sandrabullock', 'jandebont', 'action', 'adventure', 'crime']"
373,Speechless,"['michaelkeaton', 'geenadavis', 'christopherreeve']",ronunderwood,"['politics', 'love', 'speechwriter']","['comedy', 'romance']","['politics', 'love', 'speechwriter', 'michaelkeaton', 'geenadavis', 'christopherreeve', 'ronunderwood', 'comedy', 'romance']"
374,Timecop,"['jean-claudevandamme', 'miasara', 'ronsilver']",peterhyams,"['martialarts', 'timetravel', 'sciencefiction']","['thriller', 'sciencefiction', 'action']","['martialarts', 'timetravel', 'sciencefiction', 'jean-claudevandamme', 'miasara', 'ronsilver', 'peterhyams', 'thriller', 'sciencefiction', 'action']"
375,True Lies,"['arnoldschwarzenegger', 'jamieleecurtis', 'tomarnold']",jamescameron,"['spy', 'terrorist', 'florida']","['action', 'thriller']","['spy', 'terrorist', 'florida', 'arnoldschwarzenegger', 'jamieleecurtis', 'tomarnold', 'jamescameron', 'action', 'thriller']"
376,When a Man Loves a Woman,"['andygarcía', 'megryan', 'ellenburstyn']",luismandoki,"['wifehusbandrelationship', 'newlove', 'family']","['drama', 'romance']","['wifehusbandrelationship', 'newlove', 'family', 'andygarcía', 'megryan', 'ellenburstyn', 'luismandoki', 'drama', 'romance']"
377,Wolf,"['jacknicholson', 'christopherplummer', 'jamesspader']",mikenichols,"['adultery', 'heal', 'bite']",['fantasy'],"['adultery', 'heal', 'bite', 'jacknicholson', 'christopherplummer', 'jamesspader', 'mikenichols', 'fantasy']"
378,Wyatt Earp,"['kevincostner', 'dennisquaid', 'genehackman']",lawrencekasdan,"['gunslinger', 'gambling', 'sheriff']","['drama', 'action', 'western']","['gunslinger', 'gambling', 'sheriff', 'kevincostner', 'dennisquaid', 'genehackman', 'lawrencekasdan', 'drama', 'action', 'western']"
379,Bad Company,"['laurencefishburne', 'ellenbarkin', 'franklangella']",damianharris,"['cia', 'judge', 'blackmail']","['action', 'crime', 'romance']","['cia', 'judge', 'blackmail', 'laurencefishburne', 'ellenbarkin', 'franklangella', 'damianharris', 'action', 'crime', 'romance']"
380,A Man of No Importance,"['albertfinney', 'brendafricker', 'michaelgambon']",surikrishnamma,"['gay', 'dublin', 'friendship']","['comedy', 'drama']","['gay', 'dublin', 'friendship', 'albertfinney', 'brendafricker', 'michaelgambon', 'surikrishnamma', 'comedy', 'drama']"
381,S.F.W.,"['stephendorff', 'reesewitherspoon', 'jakebusey']",jeferylevy,"['lossofbrother', 'hostage', 'tvshow']","['comedy', 'drama']","['lossofbrother', 'hostage', 'tvshow', 'stephendorff', 'reesewitherspoon', 'jakebusey', 'jeferylevy', 'comedy', 'drama']"
382,A Low Down Dirty Shame,"['keenenivorywayans', 'charless.dutton', 'jadapinkettsmith']",keenenivorywayans,"['fbi', 'drugcrime', 'violence']","['action', 'comedy', 'crime']","['fbi', 'drugcrime', 'violence', 'keenenivorywayans', 'charless.dutton', 'jadapinkettsmith', 'keenenivorywayans', 'action', 'comedy', 'crime']"
383,"Boys Life: Three Stories of Love, Lust, and Liberation","['jamesandrews', 'marybethaylesworth', 'mikebarbour']",robertleeking,[],['drama'],"['jamesandrews', 'marybethaylesworth', 'mikebarbour', 'robertleeking', 'drama']"
384,Colonel Chabert,"['gérarddepardieu', 'fannyardant', 'fabriceluchini']",yvesangelo,[],['drama'],"['gérarddepardieu', 'fannyardant', 'fabriceluchini', 'yvesangelo', 'drama']"
385,"Faster, Pussycat! Kill! Kill!","['turasatana', 'haji', 'loriwilliams']",russmeyer,"['killing', 'sportscar', 'go-godancer']","['action', 'crime']","['killing', 'sportscar', 'go-godancer', 'turasatana', 'haji', 'loriwilliams', 'russmeyer', 'action', 'crime']"
386,Jason's Lyric,"['allenpayne', 'jadapinkettsmith', 'bokeemwoodbine']",dougmchenry,"['familyrelationships', 'fear', 'relationship']","['crime', 'drama', 'romance']","['familyrelationships', 'fear', 'relationship', 'allenpayne', 'jadapinkettsmith', 'bokeemwoodbine', 'dougmchenry', 'crime', 'drama', 'romance']"
387,The Secret Adventures of Tom Thumb,"['nickupton', 'deborahcollard', 'frankpassingham']",daveborthwick,['stopmotion'],"['animation', 'sciencefiction']","['stopmotion', 'nickupton', 'deborahcollard', 'frankpassingham', 'daveborthwick', 'animation', 'sciencefiction']"
388,Street Fighter,"['jean-claudevandamme', 'raúljuliá', 'ming-nawen']",stevene.desouza,"['dictator', 'martialarts', 'hostage']","['action', 'adventure', 'thriller']","['dictator', 'martialarts', 'hostage', 'jean-claudevandamme', 'raúljuliá', 'ming-nawen', 'stevene.desouza', 'action', 'adventure', 'thriller']"
389,Coldblooded,"['michaelj.fox', 'jasonpriestley', 'kimberlywilliams-paisley']",wallacewolodarsky,"['hitman', 'wound', 'yoga']","['action', 'comedy']","['hitman', 'wound', 'yoga', 'michaelj.fox', 'jasonpriestley', 'kimberlywilliams-paisley', 'wallacewolodarsky', 'action', 'comedy']"
390,Desert Winds,"['michaela.nickles', 'adamant', 'heathergraham']",michaela.nickles,[],[],"['michaela.nickles', 'adamant', 'heathergraham', 'michaela.nickles']"
391,Fall Time,"['stevealden', 'davidarquette', 'stephenbaldwin']",paulwarner,"['prank', 'independentfilm', 'bankrobbery']","['action', 'adventure', 'crime']","['prank', 'independentfilm', 'bankrobbery', 'stevealden', 'davidarquette', 'stephenbaldwin', 'paulwarner', 'action', 'adventure', 'crime']"
392,The Fear,"['eddiebowz', 'heathermedway', 'annturkel']",vincentrobert,"['mannequin', 'supernatural', 'bmovie']","['horror', 'thriller']","['mannequin', 'supernatural', 'bmovie', 'eddiebowz', 'heathermedway', 'annturkel', 'vincentrobert', 'horror', 'thriller']"
393,Frank and Ollie,[],theodorethomas,"['filmhistory', 'animationfilmmaking']",['documentary'],"['filmhistory', 'animationfilmmaking', 'theodorethomas', 'documentary']"
394,Girl in the Cadillac,"['эрикаэлениак', 'williammcnamara', 'michaellerner']",lucasplatt,"['robbery', 'bank', 'cadillac']","['romance', 'adventure', 'crime']","['robbery', 'bank', 'cadillac', 'эрикаэлениак', 'williammcnamara', 'michaellerner', 'lucasplatt', 'romance', 'adventure', 'crime']"
395,Homage,"['blythedanner', 'frankwhaley', 'sheryllee']",rosskaganmarks,"['obsession', 'widow', 'tragicevent']","['thriller', 'drama']","['obsession', 'widow', 'tragicevent', 'blythedanner', 'frankwhaley', 'sheryllee', 'rosskaganmarks', 'thriller', 'drama']"
396,Mirage,"['edwardjamesolmos', 'seanyoung', 'jamesandronica']",paulwilliams,[],"['action', 'thriller']","['edwardjamesolmos', 'seanyoung', 'jamesandronica', 'paulwilliams', 'action', 'thriller']"
397,Open Season,"['robertwuhl', 'tomselleck', 'joepiscopo']",robertwuhl,"['television', 'satire']",['comedy'],"['television', 'satire', 'robertwuhl', 'tomselleck', 'joepiscopo', 'robertwuhl', 'comedy']"
398,Dos Crímenes,"['damiánalcázar', 'pedroarmendárizjr.', 'doloresheredia']",robertosneider,[],[],"['damiánalcázar', 'pedroarmendárizjr.', 'doloresheredia', 'robertosneider']"
399,Brother Minister: The Assassination of Malcolm X,['roscoeleebrowne'],jackbaxter,['malcolmx'],['documentary'],"['malcolmx', 'roscoeleebrowne', 'jackbaxter', 'documentary']"
400,Highlander: The Final Dimension,"['christopherlambert', 'mariovanpeebles', 'deborahkaraunger']",andrewmorahan,"['japan', 'newyork', 'scotland']","['action', 'fantasy', 'sciencefiction']","['japan', 'newyork', 'scotland', 'christopherlambert', 'mariovanpeebles', 'deborahkaraunger', 'andrewmorahan', 'action', 'fantasy', 'sciencefiction']"
401,Federal Hill,"['nicholasturturro', 'anthonydesando', 'libbylangdon']",michaelcorrente,[],[],"['nicholasturturro', 'anthonydesando', 'libbylangdon', 'michaelcorrente']"
402,In the Mouth of Madness,"['samneill', 'juliecarmen', 'jürgenprochnow']",johncarpenter,"['smalltown', 'paranoia', 'newhampshire']","['horror', 'mystery', 'thriller']","['smalltown', 'paranoia', 'newhampshire', 'samneill', 'juliecarmen', 'jürgenprochnow', 'johncarpenter', 'horror', 'mystery', 'thriller']"
403,8 Seconds,"['lukeperry', 'stephenbaldwin', 'cynthiageary']",johng.avildsen,"['rodeo', 'independentfilm', 'cowboy']","['drama', 'romance']","['rodeo', 'independentfilm', 'cowboy', 'lukeperry', 'stephenbaldwin', 'cynthiageary', 'johng.avildsen', 'drama', 'romance']"
404,Above the Rim,"['duanemartin', 'tupacamarushakur', 'berniemac']",jeffpollack,['sport'],"['crime', 'drama']","['sport', 'duanemartin', 'tupacamarushakur', 'berniemac', 'jeffpollack', 'crime', 'drama']"
405,Addams Family Values,"['raúljuliá', 'anjelicahuston', 'christopherlloyd']",barrysonnenfeld,"['jealousy', 'baby', 'brothersisterrelationship']","['comedy', 'family', 'fantasy']","['jealousy', 'baby', 'brothersisterrelationship', 'raúljuliá', 'anjelicahuston', 'christopherlloyd', 'barrysonnenfeld', 'comedy', 'family', 'fantasy']"
406,Martin Lawrence: You So Crazy,['martinlawrence'],thomasschlamme,['stand-upcomedy'],['comedy'],"['stand-upcomedy', 'martinlawrence', 'thomasschlamme', 'comedy']"
407,The Age of Innocence,"['danielday-lewis', 'michellepfeiffer', 'winonaryder']",martinscorsese,"['upperclass', 'newyork', 'lover']","['drama', 'romance']","['upperclass', 'newyork', 'lover', 'danielday-lewis', 'michellepfeiffer', 'winonaryder', 'martinscorsese', 'drama', 'romance']"
408,Airheads,"['brendanfraser', 'stevebuscemi', 'adamsandler']",michaellehmann,"['radiostation', 'heavymetal', 'rockband']","['comedy', 'crime', 'music']","['radiostation', 'heavymetal', 'rockband', 'brendanfraser', 'stevebuscemi', 'adamsandler', 'michaellehmann', 'comedy', 'crime', 'music']"
409,The Air Up There,"['kevinbacon', 'charlesgitongamaina', 'yolandavazquez']",paulmichaelglaser,['sport'],"['comedy', 'family']","['sport', 'kevinbacon', 'charlesgitongamaina', 'yolandavazquez', 'paulmichaelglaser', 'comedy', 'family']"
410,Another Stakeout,"['richarddreyfuss', 'emilioestevez', ""rosieo'donnell""]",johnbadham,"['staatsanwältin', 'cops', 'gangster']","['action', 'comedy']","['staatsanwältin', 'cops', 'gangster', 'richarddreyfuss', 'emilioestevez', ""rosieo'donnell"", 'johnbadham', 'action', 'comedy']"
411,Bad Girls,"['madeleinestowe', 'marystuartmasterson', 'andiemacdowell']",jonathankaplan,"['femalenudity', 'revenge', 'wildwest']","['action', 'adventure', 'comedy']","['femalenudity', 'revenge', 'wildwest', 'madeleinestowe', 'marystuartmasterson', 'andiemacdowell', 'jonathankaplan', 'action', 'adventure', 'comedy']"
412,Barcelona,"['taylornichols', 'chriseigeman', 'mirasorvino']",whitstillman,"['barcelonaspain', 'navy', 'independentfilm']","['comedy', 'drama', 'romance']","['barcelonaspain', 'navy', 'independentfilm', 'taylornichols', 'chriseigeman', 'mirasorvino', 'whitstillman', 'comedy', 'drama', 'romance']"
413,Being Human,"['robinwilliams', 'maudiejohnson', 'maxjohnson']",billforsyth,"['success', 'medievaltimes', 'struggle']","['drama', 'comedy', 'fantasy']","['success', 'medievaltimes', 'struggle', 'robinwilliams', 'maudiejohnson', 'maxjohnson', 'billforsyth', 'drama', 'comedy', 'fantasy']"
414,The Beverly Hillbillies,"['jimvarney', 'diedrichbader', 'эрикаэлениак']",penelopespheeris,"['arkansas', 'oil', 'basedontvseries']",['comedy'],"['arkansas', 'oil', 'basedontvseries', 'jimvarney', 'diedrichbader', 'эрикаэлениак', 'penelopespheeris', 'comedy']"
415,Beverly Hills Cop III,"['eddiemurphy', 'judgereinhold', 'héctorelizondo']",johnlandis,"['detective', 'undercover', 'securitycamera']","['action', 'comedy', 'crime']","['detective', 'undercover', 'securitycamera', 'eddiemurphy', 'judgereinhold', 'héctorelizondo', 'johnlandis', 'action', 'comedy', 'crime']"
416,Black Beauty,"['alancumming', 'seanbean', 'davidthewlis']",carolinethompson,"['horse', 'countrylife', 'womandirector']","['action', 'adventure', 'drama']","['horse', 'countrylife', 'womandirector', 'alancumming', 'seanbean', 'davidthewlis', 'carolinethompson', 'action', 'adventure', 'drama']"
417,Blink,"['madeleinestowe', 'aidanquinn', 'jamesremar']",michaelapted,"['killer', 'blindness']","['mystery', 'crime', 'drama']","['killer', 'blindness', 'madeleinestowe', 'aidanquinn', 'jamesremar', 'michaelapted', 'mystery', 'crime', 'drama']"
418,Blown Away,"['jeffbridges', 'tommyleejones', 'suzyamis']",stephenhopkins,"['terrorist', 'boston', 'fireworks']","['drama', 'action', 'thriller']","['terrorist', 'boston', 'fireworks', 'jeffbridges', 'tommyleejones', 'suzyamis', 'stephenhopkins', 'drama', 'action', 'thriller']"
419,Blue Chips,"['nicknolte', ""shaquilleo'neal"", 'marymcdonnell']",williamfriedkin,"['sport', 'basketball', 'drama']",['drama'],"['sport', 'basketball', 'drama', 'nicknolte', ""shaquilleo'neal"", 'marymcdonnell', 'williamfriedkin', 'drama']"
420,Blue Sky,"['jessicalange', 'tommyleejones', 'powersboothe']",tonyrichardson,"['mentaldisease', 'nuclearmissile', 'history']","['drama', 'romance']","['mentaldisease', 'nuclearmissile', 'history', 'jessicalange', 'tommyleejones', 'powersboothe', 'tonyrichardson', 'drama', 'romance']"
421,Body Snatchers,"['gabrielleanwar', 'terrykinney', 'billywirth']",abelferrara,"['distrust', 'militarybase', 'remake']","['horror', 'sciencefiction', 'thriller']","['distrust', 'militarybase', 'remake', 'gabrielleanwar', 'terrykinney', 'billywirth', 'abelferrara', 'horror', 'sciencefiction', 'thriller']"
422,Boxing Helena,"['juliansands', 'sherilynfenn', 'billpaxton']",jenniferchamberslynch,"['obsession', 'dream', 'kidnapping']","['drama', 'romance']","['obsession', 'dream', 'kidnapping', 'juliansands', 'sherilynfenn', 'billpaxton', 'jenniferchamberslynch', 'drama', 'romance']"
423,A Bronx Tale,"['robertdeniro', 'chazzpalminteri', 'lillobrancato']",robertdeniro,"['gambling', 'fathersonrelationship', 'blackpeople']","['drama', 'crime']","['gambling', 'fathersonrelationship', 'blackpeople', 'robertdeniro', 'chazzpalminteri', 'lillobrancato', 'robertdeniro', 'drama', 'crime']"
424,Cabin Boy,"['chriselliott', 'ritchbrinkley', 'jamesgammon']",adamresnick,[],['comedy'],"['chriselliott', 'ritchbrinkley', 'jamesgammon', 'adamresnick', 'comedy']"
425,Calendar Girl,"['jasonpriestley', 'gabrielolds', ""jerryo'connell""]",johnwhitesell,"['malenudity', 'tattoo', 'california']","['drama', 'comedy']","['malenudity', 'tattoo', 'california', 'jasonpriestley', 'gabrielolds', ""jerryo'connell"", 'johnwhitesell', 'drama', 'comedy']"
426,Carlito's Way,"['alpacino', 'seanpenn', 'penelopeannmiller']",briandepalma,"['prison', '1970s', 'puertorican']","['action', 'crime', 'drama']","['prison', '1970s', 'puertorican', 'alpacino', 'seanpenn', 'penelopeannmiller', 'briandepalma', 'action', 'crime', 'drama']"
427,City Slickers II: The Legend of Curly's Gold,"['billycrystal', 'danielstern', 'jonlovitz']",paulweiland,"['nevada', 'gold', 'birthday']","['action', 'comedy', 'drama']","['nevada', 'gold', 'birthday', 'billycrystal', 'danielstern', 'jonlovitz', 'paulweiland', 'action', 'comedy', 'drama']"
428,Clean Slate,"['danacarvey', 'valeriagolino', 'jamesearljones']",mickjackson,[],"['comedy', 'thriller', 'mystery']","['danacarvey', 'valeriagolino', 'jamesearljones', 'mickjackson', 'comedy', 'thriller', 'mystery']"
429,Cliffhanger,"['sylvesterstallone', 'johnlithgow', 'michaelrooker']",rennyharlin,"['mountain', 'rockymountains', 'airplane']","['action', 'adventure', 'thriller']","['mountain', 'rockymountains', 'airplane', 'sylvesterstallone', 'johnlithgow', 'michaelrooker', 'rennyharlin', 'action', 'adventure', 'thriller']"
430,Coneheads,"['robertknott', 'danaykroyd', 'janecurtin']",stevebarron,"['extraterrestrialtechnology', 'alienlife-form', 'spaceinvasion']","['comedy', 'sciencefiction', 'family']","['extraterrestrialtechnology', 'alienlife-form', 'spaceinvasion', 'robertknott', 'danaykroyd', 'janecurtin', 'stevebarron', 'comedy', 'sciencefiction', 'family']"
431,Color of Night,"['brucewillis', 'janemarch', 'rubénblades']",richardrush,"['suicide', 'california', 'sex']","['drama', 'mystery', 'romance']","['suicide', 'california', 'sex', 'brucewillis', 'janemarch', 'rubénblades', 'richardrush', 'drama', 'mystery', 'romance']"
432,Cops & Robbersons,"['chevychase', 'jackpalance', 'diannewiest']",michaelritchie,"['wingingintoawall', 'infrared', 'photoalbumepilogue']","['action', 'comedy', 'family']","['wingingintoawall', 'infrared', 'photoalbumepilogue', 'chevychase', 'jackpalance', 'diannewiest', 'michaelritchie', 'action', 'comedy', 'family']"
433,The Cowboy Way,"['woodyharrelson', 'kiefersutherland', 'dylanmcdermott']",greggchampion,['cowboy'],"['western', 'action', 'comedy']","['cowboy', 'woodyharrelson', 'kiefersutherland', 'dylanmcdermott', 'greggchampion', 'western', 'action', 'comedy']"
434,Dangerous Game,"['harveykeitel', 'madonna', 'jamesrusso']",abelferrara,"['independentfilm', 'drug', 'divorce']",['drama'],"['independentfilm', 'drug', 'divorce', 'harveykeitel', 'madonna', 'jamesrusso', 'abelferrara', 'drama']"
435,Dave,"['kevinkline', 'sigourneyweaver', 'franklangella']",ivanreitman,"['coma', 'whitehouse', 'usapresident']",['comedy'],"['coma', 'whitehouse', 'usapresident', 'kevinkline', 'sigourneyweaver', 'franklangella', 'ivanreitman', 'comedy']"
436,Dazed and Confused,"['jasonlondon', 'rorycochrane', 'wileywiggins']",richardlinklater,"['1970s', 'texas', 'highschool']","['comedy', 'drama']","['1970s', 'texas', 'highschool', 'jasonlondon', 'rorycochrane', 'wileywiggins', 'richardlinklater', 'comedy', 'drama']"
437,Demolition Man,"['sylvesterstallone', 'wesleysnipes', 'sandrabullock']",marcobrambilla,"['helicopter', 'martialarts', 'crimefighter']","['crime', 'action', 'sciencefiction']","['helicopter', 'martialarts', 'crimefighter', 'sylvesterstallone', 'wesleysnipes', 'sandrabullock', 'marcobrambilla', 'crime', 'action', 'sciencefiction']"
438,The Endless Summer 2,[],brucebrown,[],['documentary'],"['brucebrown', 'documentary']"
439,Even Cowgirls Get the Blues,"['umathurman', 'lorrainebracco', 'patmorita']",gusvansant,"['transvestism', 'lesbian', 'cowgirl']","['western', 'drama', 'comedy']","['transvestism', 'lesbian', 'cowgirl', 'umathurman', 'lorrainebracco', 'patmorita', 'gusvansant', 'western', 'drama', 'comedy']"
440,Fatal Instinct,"['armandassante', 'sherilynfenn', 'katenelligan']",carlreiner,"['spoof', 'privatedetective']",['comedy'],"['spoof', 'privatedetective', 'armandassante', 'sherilynfenn', 'katenelligan', 'carlreiner', 'comedy']"
441,Farewell My Concubine,"['lesliecheung', 'gongli', 'zhangfengyi']",chenkaige,"['gay', 'china', 'society']",['drama'],"['gay', 'china', 'society', 'lesliecheung', 'gongli', 'zhangfengyi', 'chenkaige', 'drama']"
442,The Favor,"['harleyjanekozak', 'elizabethmcgovern', 'billpullman']",donaldpetrie,[],"['drama', 'comedy', 'romance']","['harleyjanekozak', 'elizabethmcgovern', 'billpullman', 'donaldpetrie', 'drama', 'comedy', 'romance']"
443,Fearless,"['jeffbridges', 'isabellarossellini', 'rosieperez']",peterweir,"['grief', 'disaster', 'guilt']",['drama'],"['grief', 'disaster', 'guilt', 'jeffbridges', 'isabellarossellini', 'rosieperez', 'peterweir', 'drama']"
444,Fear of a Black Hat,"['larryb.scott', 'markchristopherlawrence', 'rustycundieff']",rustycundieff,"['hip-hop', 'musician', 'mockumentary']",['comedy'],"['hip-hop', 'musician', 'mockumentary', 'larryb.scott', 'markchristopherlawrence', 'rustycundieff', 'rustycundieff', 'comedy']"
445,With Honors,"['joepesci', 'brendanfraser', 'moirakelly']",alekkeshishian,"['homelessperson', 'lawschool', 'bum']","['comedy', 'drama']","['homelessperson', 'lawschool', 'bum', 'joepesci', 'brendanfraser', 'moirakelly', 'alekkeshishian', 'comedy', 'drama']"
446,Flesh and Bone,"['megryan', 'dennisquaid', 'jamescaan']",stevekloves,"['gambling', 'sex', 'robbery']","['drama', 'mystery', 'romance']","['gambling', 'sex', 'robbery', 'megryan', 'dennisquaid', 'jamescaan', 'stevekloves', 'drama', 'mystery', 'romance']"
447,Widows' Peak,"['miafarrow', 'jimbroadbent', 'natasharichardson']",johnirvin,[],"['comedy', 'thriller', 'mystery']","['miafarrow', 'jimbroadbent', 'natasharichardson', 'johnirvin', 'comedy', 'thriller', 'mystery']"
448,For Love or Money,"['michaelj.fox', 'gabrielleanwar', 'anthonyhiggins']",barrysonnenfeld,"['hotel', 'lover(female)', 'concierge']","['comedy', 'romance']","['hotel', 'lover(female)', 'concierge', 'michaelj.fox', 'gabrielleanwar', 'anthonyhiggins', 'barrysonnenfeld', 'comedy', 'romance']"
449,The Firm,"['tomcruise', 'jeannetripplehorn', 'genehackman']",sydneypollack,"['fbi', 'law', 'tennessee']","['drama', 'mystery', 'thriller']","['fbi', 'law', 'tennessee', 'tomcruise', 'jeannetripplehorn', 'genehackman', 'sydneypollack', 'drama', 'mystery', 'thriller']"
